stratum_axis,stratum,n,accuracy,precision,f1
marsh_class,Marsh-0,81,0.7283950617283951,0.6781609195402298,0.7023809523809523
marsh_class,Marsh-1,96,0.5729166666666666,0.48672566371681414,0.5263157894736842
marsh_class,Marsh-3a,99,0.35353535353535354,0.5833333333333334,0.44025157232704404
marsh_class,Marsh-3b,124,0.8790322580645161,0.7785714285714286,0.8257575757575758
wsi_id,3,15,0.7333333333333333,,0.7074592074592074
wsi_id,5,14,0.5,,0.3958333333333333
wsi_id,6,9,0.7777777777777778,,0.6388888888888888
wsi_id,7,11,0.5454545454545454,,0.45
wsi_id,9,10,0.3,,0.25
wsi_id,15,5,0.0,,0.0
wsi_id,20,5,0.8,,0.5833333333333333
wsi_id,23,6,1.0,,0.25
wsi_id,24,4,1.0,,0.5
wsi_id,28,4,0.75,,0.5
wsi_id,30,12,0.8333333333333334,,0.6117216117216117
wsi_id,34,25,0.76,,0.7125541125541125
wsi_id,37,7,0.42857142857142855,,0.43333333333333335
wsi_id,41,7,0.7142857142857143,,0.41666666666666663
wsi_id,44,10,0.4,,0.375
wsi_id,57,14,0.7857142857142857,,0.7976190476190476
wsi_id,61,12,0.75,,0.5249999999999999
wsi_id,64,15,0.6,,0.36713286713286714
wsi_id,66,14,0.6428571428571429,,0.45367132867132864
wsi_id,68,11,0.45454545454545453,,0.403030303030303
wsi_id,69,10,0.4,,0.3333333333333333
wsi_id,75,15,0.8666666666666667,,0.649579831932773
wsi_id,83,12,0.75,,0.7202380952380952
wsi_id,90,9,0.4444444444444444,,0.30952380952380953
wsi_id,98,14,0.7857142857142857,,0.7224358974358974
wsi_id,99,13,0.46153846153846156,,0.36428571428571427
wsi_id,108,9,0.5555555555555556,,0.43452380952380953
wsi_id,110,6,0.5,,0.29166666666666663
wsi_id,115,20,0.45,,0.28421052631578947
wsi_id,117,4,0.75,,0.41666666666666663
wsi_id,123,10,0.6,,0.5642857142857143
wsi_id,129,17,0.7647058823529411,,0.39610389610389607
wsi_id,139,17,0.7647058823529411,,0.23214285714285715
wsi_id,143,26,0.7692307692307693,,0.7701298701298701
wsi_id,144,5,0.6,,0.3666666666666667
epi_quintile,Q1,80,0.9375,,0.24193548387096775
epi_quintile,Q2,80,0.55,,0.26262626262626265
epi_quintile,Q3,80,0.425,,0.21771978021978022
epi_quintile,Q4,80,0.575,,0.18253968253968253
epi_quintile,Q5,80,0.7375,,0.21223021582733814
